text,label
"ভারতের কেন্দ্রীয় শহর উন্নয়ন মন্ত্রী এম ভেঙ্কইয়া নাইডু বলেছেন, ভারতীয়দের রক্তে বংশানুক্রমে সহনশীলতা রয়েছে। বুদ্ধিজীবীদের উচিত ‘বিচ্ছিন্ন ঘটনাকে’ গতানুগতিক ধারার মধ্যে না ফেলা। এটা দেশের ভাবমূর্তি ক্ষুণ্ন করতে পারে। কিছু লেখক ও গণমাধ্যমের প্রতি ইঙ্গিত করে গতকাল রোববার এসব কথা বলেন নাইডু। টাইমস অব ইন্ডিয়া অনলাইনের প্রতিবেদনে এ তথ্য জানানো হয়।ভারতে সার্বিক অসহিষ্ণুতা বেড়ে যাওয়ার অভিযোগ তুলে সম্প্রতি দেশটির প্রায় অর্ধশত লেখক-সাহিত্যিক সরকারি-বেসরকারি পুরস্কার ও সম্মাননা ফেরত দেন। এ নিয়ে ভারতজুড়ে তুমুল রাজনৈতিক বিতর্ক চলার মধ্যে নাইডুর কাছ থেকে এমন প্রতিক্রিয়া এল। নাইডু বলেন, কিছু দুঃখজনক ঘটনার ব্যাপারে বুদ্ধিজীবীরা নিন্দা জানাতে পারেন। কিন্তু তা করার সময় তাঁদের উচিত দেশের ভাবমূর্তির কথা মাথায় রাখা।কারও নাম উল্লেখ না করে ভারতের কেন্দ্রীয় শহর উন্নয়ন মন্ত্রী বলেন, ‘কিছু মানুষ দেশে ঘটে যাওয়া কিছু বিচ্ছিন্ন ঘটনাকে (সহিংসতা) সাধারণ ঘটনার মধ্যে ফেলার চেষ্টা করেন। তাঁরা এটাকে অতিরঞ্জিত করার চেষ্টা করেন। তাঁরা এমনটা প্রচারের চেষ্টা করেন যে, দেশে সহিষ্ণুতার মাত্রা নেমে গেছে। এটা দেশের জন্য অসম্মান বয়ে আনবে। আমরা ঘটনার নিন্দা জানাতে পারি, কিন্তু দেশের নয়।’নাইডু বলেন, ‘এখন আমরা দেশে একটা নতুন প্রবণতা দেখছি। তাঁরা (বুদ্ধিজীবী) বলেন, দেশে সহিষ্ণুতা কমে গেছে। বিশ্বে ভারতই একমাত্র দেশ, যেখানে সহিষ্ণুতা আছে। শতভাগ না হলেও অন্তত ৯৯ ভাগ।’সরকারের গঠনমূলক সমালোচনা করার জন্য কিছু লেখকদের উপদেশ দেন মন্ত্রী। তাঁর অভিযোগ, কিছু মানুষ প্রধানমন্ত্রী নরেন্দ্র মোদির বিরুদ্ধে বিদ্বেষপূর্ণ প্রচারণা চালাচ্ছেন।
আরও পড়ুন: সম্মাননা ফেরত দিলেন ৪১ লেখক",international
ভারতের বিখ্যাত ধ্রুপদ ম্যান্ডোলিন বাদক উপ্পলাপু শ্রীনিবাস (৪৫) মৃত্যুবরণ করেছেন। চেন্নাইয়ের একটি বেসরকারি হাসপাতালে গত শুক্রবার সকাল সাড়ে নয়টার দিকে তিনি শেষনিঃশ্বাস ত্যাগ করেন। যকৃতের সমস্যা নিয়ে কয়েক দিন আগে তিনি ওই হাসপাতালে ভর্তি হয়েছিলেন। হাসপাতালের কর্মকর্তারা এ কথা জানিয়েছেন। ম্যান্ডোলিন বাদনে অসাধারণ নৈপুণ্যের কারণে ‘ম্যান্ডোলিন’ শ্রীনিবাস নামে পরিচিত হয়ে ওঠেন। মাত্র নয় বছর বয়সে দর্শকদের সামনে প্রথমবার ম্যান্ডোলিন বাজান তিনি। আর মাত্র ২৯ বছর বয়সে ১৯৯৮ সালে ভারত সরকার সম্মানজনক পদ্মশ্রী খেতাবে ভূষিত করে অসামান্য গুণী শিল্পী শ্রীনিবাসকে। দক্ষিণ ভারতীয় কর্ণাটকি সংগীতে তিনিই প্রথম ম্যান্ডোলিন ব্যবহার করেন। বিবিসি ও এনডিটিভি।,international
"দীর্ঘ অপেক্ষার পর অবশেষে শেষকৃত্য সম্পন্ন হলো ভারতের মণিপুর রাজ্যে হিংসার বলি আট উপজাতির মরদেহের। ৬০০ দিন মর্গে থাকার পর আজ বুধবার বিকেলে তাঁদের মরদেহ সমাধিস্থ করা হয়। এ সময় হাজার হাজার মানুষের উপস্থিতিতে নিহত ব্যক্তিদের শহীদ বলে সম্মান জানানো হয়।
২০১৫ সালের ৩১ আগস্ট ইনার লাইন পারমিট নিয়ে মণিপুর বিধানসভায় বিল পাস করার পর অশান্তির আগুন ছড়িয়ে পড়ে গোটা রাজ্যে। সেপ্টেম্বরে আন্দোলনকারীদের সঙ্গে নিরাপত্তা বাহিনীর সংঘর্ষে প্রাণ হারান নয়জন। একজনের মরদেহ আগেই সৎকার করা হয়। বাকি আটজনের মরদেহ মণিপুরের চুরাচানপুর জেলার মর্গে রাখা ছিল। আজ বুধবার সেই আটজনের মরদেহের সৎকার করা হয়।
উত্তর পূর্ব ভারতের উপজাতিদের নিজস্বতা বজায় রাখার জন্য ব্রিটিশরা প্রথম এই ইনার লাইনপ্রথা চালু করে। সেই আইন এখনো ভারতের অরুণাচল প্রদেশ, নাগাল্যান্ড ও মিজোরামে চালু রয়েছে। এই আইনবলে ভারতীয় নাগরিকদেরও এসব রাজ্যে যেতে গেলে অনুমতি নিতে হয়।
মণিপুরে ছিল রেস্ট্রিকটেড অ্যারিয়া পারমিট। কিন্তু ২০১৫ সালে কংগ্রেস সরকার ইনার লাইন পারমিট আইন বিধানসভায় পাস করাতেই নাগারা বিদ্রোহী হয়ে ওঠে। শুরু হয় হিংস্র আন্দোলন। অল ট্রাইবাল উইমেন ইউনিয়ন এবং অল ট্রাইবাল মুভমেন্ট লামকার ব্যানারে এই আন্দোলনে নারীরাও এগিয়ে আসেন। তাঁরা এই বিলকে উপজাতিবিরোধী বলে আখ্যা দেন। পরে অবশ্য রাজ্য সরকারের সঙ্গে সমঝোতা হয় আন্দোলনকারীদের। বিনিময়ে নিহত ব্যক্তিদের পরিবারকে পাঁচ লাখ রুপি ক্ষতিপূরণ এবং জখম ৪৮ জনকে সুচিকিৎসারও ব্যবস্থা করে রাজ্য সরকার।
কিন্তু ওই আন্দোলনে নিহত ব্যক্তিদের মরদেহ সৎকার করতে এত দিন রাজি হননি নাগা নেতারা। অবশেষে রাজ্যে পালাবদলের পর ইউনাইটেড নাগা কাউন্সিল ও বিজেপি নেতৃত্বাধীন রাজ্য সরকার আটটি মরদেহ সৎকারে রাজি হয়। ১০ মে এ বিষয়ে ঐকমত্যে পৌঁছায় উভয় পক্ষ। সেই অনুযায়ী বুধবার সমাধিস্থ করা হলো প্রায় দুই বছরের পুরোনো লাশগুলো। মুখ্যমন্ত্রী বীরেন সিংয়ের এই সৎকার অনুষ্ঠানে উপস্থিত থাকার কথা ছিল। কিন্তু পূর্বনির্ধারিত জরুরি কর্মসূচির কারণে তিনি থাকতে পারেননি বলে জানানো হয়। তবে অন্য জনপ্রতিনিধিরা উপস্থিত ছিলেন। খ্রিষ্টধর্মমতে নির্বিঘ্নেই মিটে যায় আট আন্দোলনকারীর শেষকৃত্য।",international
"রাজবাড়ী সরকারি কলেজের বিদ্যাসাগর হলে মাদক সেবনে বাধা দেওয়ায় গতকাল রোববার ছাত্রদের মারধর করা হয়েছে।বিদ্যাসাগর হল থেকে জানা গেছে, গত শনিবার বিকেলে স্থানীয় ড্রাই আইস ফ্যাক্টরি এলাকার সোহাগ ও কলি হলের টিনশেড ভবনের একটি কক্ষে ইয়াবা সেবন করতে আসেন। এটা জানতে পেরে উপাধ্যক্ষ ফখরুজ্জামান এবং শিক্ষক আবু ওবায়েদ মো. বাসেত ঠাকুর ওই কক্ষে যান। এ সময় কলি বাসেত ঠাকুরকে ধাক্কা দিয়ে পালিয়ে যান। তবে সোহাগকে ধরে উপাধ্যক্ষ তিরস্কার করেন।গতকাল বেলা ১১টার দিকে ওই কক্ষে সোহাগ ও তাঁর সহযোগী দেবা ঢুকে কক্ষের আবাসিক ছাত্র রাজেন, অনিক, প্রান্ত ও সুমনকে মারধর করেন। এরপর তাঁরা টেলিভিশন কক্ষ থেকে ক্রিকেট স্ট্যাম্প নিয়ে হোস্টেলের আবাসিক ছাত্র মিন্টু শিকদার ও তাপস বিশ্বাসকে মারধর করেন।রাজবাড়ী সদর থানার ওসি আবদুল খালেক জানান, হামলাকারীদের ধরার চেষ্টা চলছে।",state
"২০০৮ সালের ২২ নভেম্বরের পর পরশুই প্রথম একই দিনে প্রিমিয়ার লিগে গোল করতে পারেনি আর্সেনাল, চেলসি ও ম্যানচেস্টার ইউনাইটেড।",sports
"এটিএন বাংলা 
সকাল ১০-৩৫ ভালোবাসার যুদ্ধ (ফেরদৌস, শাবনূর, বাপ্পারাজ)। 
চ্যানেল আই 
বেলা ৩-০৫ সেরেন্ডিপিটি (জন ক্যুসেক, কেট বেকিনসেল)। 
এনটিভি 
সকাল ৮-৪৫ সন্ধি। 
দেশ টিভি 
সকাল ৮-০০ জিদ্দি। 
আরটিভি 
দুপুর ১২-৩৫ গুরু ভাই। 
বৈশাখী টিভি 
সকাল ১০-৫০ সমর। 
চ্যানেল নাইন 
সকাল ৯-০০ দুর্ধর্ষ দুর্জয়। 
গাজী টিভি 
সকাল ১০-৩০ মাটির ফুল। 
দীপ্ত টিভি 
বেলা ১১-৩০ সিকান্দর। 
জলসা মুভিজ (ইন্ডিয়া)
সকাল ৮-০০ অমানুষ। ১২-১০ শ্বশুরবাড়ি জিন্দাবাদ। ৩-২৫ সাথী আমার বন্ধু আমার। ৬-২৫ লে হালুয়া লে। ৯-৩০ হানড্রেড পারসেন্ট লাভ। 
জি সিনেমা (ইন্ডিয়া)
সকাল ৮-১৪ কারিশমা কুদরত কা। ১১-৩৫ রং। ২-৪৫ মেরি শান (সুশান্ত, তামান্না)। ৫-১০ ফুল ঔর কাঁটে (অজয় দেবগন, মধু)। ৮-৩০ মাণিক্য। 
সেট ম্যাক্স (ইন্ডিয়া)
সকাল ১০-৩০ ওয়াক্ত হামারা হ্যায়। ১-৩০ কৃষ। ৯-৩০ লিজেন্ড দ্য টেরর। 
স্টার মুভিজ (ইন্ডিয়া)
সকাল ৯-০০ বিহাইন্ড এনিমি লাইনস টু। ১১-০০ প্রিডেটর। ১-০০ প্রমিথিউস। ৩-৩০ কমান্ডো। ৫-০০ ডেথ রেস। ৭-৩০ দ্য ফাস্ট অ্যান্ড দ্য ফিউরিয়াস। 
এইচবিও (ইন্ডিয়া)
সকাল ৯-০০ রেড টু। ১০-৫৪ স্টেপ আপ থ্রিডি। ১-০২ গোস্ট রাইডার। ৩-০৯ দ্য নভেম্বর ম্যান। ৫-১০ ফাইনাল ডেস্টিনেশন থ্রি। ৬-৫১ স্পাই কিডস থ্রি-ডি: গেম ওভার। ৮-৩২ ট্রান্সফরমারস: এজ অব এক্সটিংশন। ১১-৪৬ পার্কার।",entertainment
"ব্যাটিং করতে নেমে পেয়েছেন গোল্ডেন ডাক। সিলেটের ইনিংসের দ্বিতীয় ওভারে বোলিং করতে এসে সেই দায়ই মেটাতে চেয়েছিলেন বোধ হয়। কিন্তু তিলকরত্নে দিলশানের দিনকে একেবারেই মাটি করে দিলেন আরেক দিলশান। দিলশানের ওই ওভারে টানা ছয় বলে ছয়টি চার মেরেছেন দিলশান মুনাবীরা!আজ অনেক নাটকের পরে ব্যাট করতে নেমেছিল চিটাগং ভাইকিংস। কিন্তু শুরুতেই আউট হয়ে দলকে বিপদে ফেলে দিয়েছিলেন দিলশান। তামিম ইকবাল ও ইয়াসির আলির ব্যাটে চড়ে ১৮০ রানের বড় সংগ্রহ গড়েছে চট্টগ্রাম দল। ১৮১ রান তাড়া করতে নেমে ভালোই জবাব দিচ্ছে সিলেট সুপার স্টারস।প্রথম ওভারে মোহাম্মদ আমির মাত্র ৫ রান দেওয়ার পর বোলিংয়ে এসেছিলেন দিলশান। স্বদেশী এবং ‘স্বনামী’কে পেয়ে যেন ব্যাট খুলে মারতে শুরু করেন জুনিয়র দিল​শান। প্রথম বল স্কয়ার লেগ দিয়ে মাঠের বাইরে পাঠিয়ে শুরু করলেন, শেষ করলেন লং অফ দিয়ে মারা চার দিয়ে। মাঝখানের বাকি চারটি বলও সীমানা পার করেছেন। তিনটি লেগ সাইড দিয়ে, অন্যটি সেই লং অফ দিয়েই। টানা ছয়টি চার! দিলশানের দুর্ভাগ্য, চতুর্থ বলে একটি উইকেট পাওয়ার সুযোগ পেয়েছিলেন। কিন্তু ডিপ মিড উইকেটে ক্যাচটি শুধু পড়েইনি, উল্টো চারও খেতে হয়েছে।এর আগে বোলিংয়ে দিনটি বেশ খারাপই কেটেছে মুনাবীরার নিজেরও। নিজের ৪ ওভারে ৫৪ রান দিয়ে ছিলেন উইকেটশূন্য। চট্টগ্রামের সব ব্যাটসম্যানই চড়াও হয়েছিলেন তাঁর ওপর। ব্যাট হাতে যেন তারই জবাব দিচ্ছেন মুনাবীরা। ২২ বলে ফিফটি করে ফেলেছেন। দিলশানকে মারা ৬টি চারসহ মোট ১০টি চার মেরেছেন, সঙ্গে ১টি ছক্কাও।টি–টোয়েন্টিতে অবশ্য এক ওভারে ছয় ছক্কা হাঁকানোরও কীর্তি আছে। ২০০৭ টি–টোয়েন্টি বিশ্বকাপে যুবরাজ সিং স্টুয়ার্ট ব্রডকে টানা ছয়টি ছক্কা মারেন।",sports
"পিরোজপুরের জিয়ানগর উপজেলার পূর্ব রামচন্দ্রপুর গ্রামে গত শনিবার গভীর রাতে সিদ্দিকুর রহমান নামের এক কৃষকের ঘর আগুন দিয়ে পুড়িয়ে দিয়েছে দুর্বৃত্তরা। ইন্দুরকানি থানার ওসি এ কে এম মিজানুল হক বলেন, এক মাস আগে সিদ্দিকুর রহমান ও তাঁর পরিবারের সদস্যরা চট্টগ্রামে বেড়াতে যান। তাঁর ঘরটি তালাবদ্ধ ছিল। শনিবার ভোরে ফজরের নামাজ পড়ার সময় ঘুম থেকে জেগে প্রতিবেশীরা তাঁর ঘর আগুনে পুড়তে দেখেন। আগুন নেভানোর আগেই ঘরটি পুড়ে যায়। সন্দেহ করা হচ্ছে, শত্রুতার জের ধরে ঘরটিতে কেউ আগুন দিয়ে থাকতে পারে। খবর পেয়ে সিদ্দিকুর রহমান বাড়ি রওনা দিয়েছেন।",state
"সারা দেশে নতুন সমবায় সমিতির নিবন্ধন উল্লেখযোগ্য হারে কমে গেছে। বিদ্যমান বিভিন্ন সমবায় সমিতির অনিয়মের পরিপ্রেক্ষিতে সমবায় অধিদপ্তর কড়াকড়ি আরোপ করায় এমনটি হয়েছে।অবস্থা এমনই দাঁড়িয়েছে যে গত অক্টোবর মাসে পুরো রাজশাহী বিভাগে একটি সমবায় সমিতিও নিবন্ধন পায়নি। অথচ আগের বছরের অক্টোবরে এই বিভাগে নিবন্ধিত হয়েছিল ১০৯টি সমবায় সমিতি। সমবায় অধিদপ্তর সূত্রে এসব তথ্য পাওয়া গেছে।এ বিষয়ে জানতে চাইলে অধিদপ্তরের অতিরিক্ত নিবন্ধক অমিয়কুমার চট্টোপাধ্যায় প্রথম আলোকে বলেন, ‘আগে অসৎ উদ্দেশ্যে অনেক সমবায় সমিতির নিবন্ধন নেওয়া হতো। মানুষের কাছ থেকে অর্থ সংগ্রহ করে লাপাত্তা হয়ে যেত। এসব ঠেকাতে সমবায় অধিদপ্তর নিবন্ধন দেওয়ার ক্ষেত্রে কিছু কড়াকড়ি আরোপ করেছে। সে কারণে এখন অনেকেই নিবন্ধন নেওয়ার আগে ভাবছেন।’সমবায় অধিদপ্তরের কর্মকর্তারা বলছেন, দুটি কারণে নতুন সমবায় সমিতির নিবন্ধন নেওয়ার পরিমাণ কমে গেছে। প্রথমত, আগে সমবায় সমিতিগুলো সদস্য ছাড়াও অন্যদের কাছ থেকে আমানত সংগ্রহ করতে পারত। ফলে সমবায় সমিতি গঠন করতে অনেকেরই উৎসাহ ছিল। কিন্তু সরকার সমবায় সমিতি আইন সংশোধন করে শুধু সদস্যদের কাছ থেকে আমানত সংগ্রহের বিধান করায় অনেকেই এখন সমিতির নিবন্ধন নিতে উৎসাহী হচ্ছেন না।দ্বিতীয়ত, সমবায় অধিদপ্তরের কেন্দ্রীয় কার্যালয় থেকে মাঠপর্যায়ের সমবায় কর্মকর্তাদের কাছে একটি অলিখিত বার্তা পৌঁছে দেওয়া হয়েছে যে কোনো সমিতির নিবন্ধন দিতে হলে ওই সমিতির সংগ্রহ করা অর্থ কোন উৎপাদনশীল খাতে ব্যবহৃত হবে, সেটা সমবায় কর্মকর্তাকে অবশ্যই জানতে হবে এবং তা সরেজমিনে দেখতে হবে। সমিতির অর্থ উৎপাদনশীল খাতে ব্যবহৃত না হলে তাকে কোনোভাবেই নিবন্ধন দেওয়া যাবে না।অতিরিক্ত নিবন্ধক অমিয়কুমার চট্টোপাধ্যায় বলেন, ‘সমবায় সমিতিগুলোর যত অনিয়ম দেখেন, তার সবই হয় ওই সমিতির অর্থ উৎপাদনশীল খাতে ব্যয় না হওয়ার কারণে। ফলে সমবায় সমিতির কর্মকর্তারা সংগৃহীত অর্থ সহজেই আত্মসাৎ করে গা ঢাকা দিতে পারেন। অনিয়ম ঠেকাতেই এমনটা করা হয়েছে।’পরিসংখ্যান: অধিদপ্তর সূত্র বলছে, গত অক্টোবরে সারা দেশে ১৪১টি নতুন সমবায় সমিতি নিবন্ধিত হয়েছে। আগের বছরের অক্টোবরে নিবন্ধিত সমিতির সংখ্যা ছিল ৭৬৬।গত বছরের অক্টোবরে যেখানে ঢাকা বিভাগে ২৫০টি সমবায় সমিতি নিবন্ধিত হয়েছিল, সেখানে এ বছরের অক্টোবরে নিবন্ধত হয়েছে মাত্র চারটি সমিতি। একইভাবে গত বছরের অক্টোবরে চট্টগ্রাম বিভাগে ১০৫টি সমিতি নিবন্ধিত হলেও এ বছর হয়েছে মাত্র একটি। খুলনা বিভাগে আগের বছরের অক্টোবরে ১৮০টি সমিতি নিবন্ধিত হলেও এ বছর হয়েছে ২০টি। সিলেট বিভাগে গত বছরের অক্টোবরে ৩০টি সমিতি নিবন্ধন পেলেও এ বছর হয়েছে তিনটি। রংপুরে গত বছরের অক্টোবরে ৪২টি সমিতি নিবন্ধিত হলেও এ বছর হয়েছে ৩২টি।তবে সমিতি নিবন্ধনের দিক থেকে আপাতদৃষ্টিতে ভালো অবস্থায় আছে বরিশাল বিভাগ। এখানে গত বছরের অক্টোবরে ৬০টি সমিতি নিবন্ধন পেলেও এ বছর পেয়েছে ৮১টি।অধিদপ্তরের কর্মকর্তারা বলছেন, কৃষি মন্ত্রণালয়ের বাস্তবায়নাধীন সিআইজি (কমন ইন্টারেস্ট গ্রুপ) প্রকল্পের আওতায় দেশের বিভিন্ন স্থানে সমবায় সমিতি গঠন করতে হচ্ছে। এসব সমিতির নিবন্ধন দিচ্ছে সমবায় অধিদপ্তর। সে কারণেই বরিশাল ও রংপুর বিভাগে নতুন সমিতির নিবন্ধনের পরিমাণ বেশি।আবার এ বছরের সেপ্টেম্বর মাসে দেশে নিবন্ধিত হয়েছে এক হাজার ১৭৯টি সমবায় সমিতি। এর মধ্যে শুধু চট্টগ্রামেই নিবন্ধিত হয়েছে এক হাজার ১৫১টি। এটাও হয়েছে সিআইজি প্রকল্পের কারণে। চট্টগ্রামের বাইরে সারা দেশে নিবন্ধিত হয়েছে মাত্র ২৮টি সমিতি। আর গত বছরের সেপ্টেম্বরে দেশে নিবন্ধিত হয় ৭৫৩টি সমিতি।সূত্র বলছে, নতুন সমবায় সমিতি নিবন্ধনের ক্ষেত্রে এখন কোন উদ্দেশ্যে সমিতিটি গঠন করা হচ্ছে, তা দেখা হচ্ছে। আগেও উদ্দেশ্য জানতে চাওয়া হতো; তবে তা সঠিকভাবে যাচাই করা হতো না। সে কারণেই তখন অনেক বেশি সমিতি নিবন্ধন নিত।যোগাযোগ করা হলে সূত্রাপুর থানা সমবায় কর্মকর্তা নাজমুল হুদা প্রথম আলোকে বলেন, ‘কয়েকজন মানুষ একটা সমিতি করার জন্য আমাদের কাছে এলেই আগে আমরা নিবন্ধন দিয়ে দিতাম। এখন আমরা দেখি তারা কোনো উৎপাদনশীল খাতে তাদের অর্থ ব্যয় করছে কি না।’গাজীপুর সদর উপজেলা সমবায় কর্মকর্তা আতাউর রহমান বলেন, ‘উৎপাদনশীল খাতের কথা জিজ্ঞেস করলেই নিবন্ধন নিতে আসা সমবায় সমিতিগুলো বিব্রত বোধ করে। তারা কোন উৎপাদনশীল খাতে অর্থ ব্যয় করবে, তা বলতে পারে না। শুধু বলে, আমরা ক্ষুদ্রঋণ দেব।’সারা দেশে এখন কতগুলো সমিতি উৎপাদনশীল কাজের সঙ্গে জড়িত, তার কোনো তথ্য সমবায় অধিদপ্তরের কাছে নেই। এ বিষয়ে অমিয়কুমার চট্টোপাধ্যায় বলেন, কোনো সমিতি উৎপাদনশীল খাতে অর্থ ব্যয় করছে কি না, তা এখন থেকে নিরীক্ষা প্রতিবেদনে অবশ্যই উল্লেখ করতে হবে। এ-সংক্রান্ত একটি নির্দেশনা তৈরি করা হচ্ছে। খুব শিগগির তা মাঠপর্যায়ের কর্মকর্তাদের কাছে পাঠানো হবে। ফলে এখন থেকে এসব তথ্য জানা যাবে।দেশে এখন এক লাখ ৯৪ হাজার নিবন্ধিত সমবায় সমিতি আছে। এর মধ্যে ৪০ শতাংশই বাংলাদেশ পল্লি উন্নয়ন বোর্ডের (বিআরডিবি)। এর আওতায় ছিল কৃষক সমবায় সমিতি, বিত্তহীন সমবায় সমিতি, বিত্তহীন সমিতির মতো নানা নামের সমিতি। এই সমিতিগুলোর প্রায় সবই বর্তমানে অকার্যকর।",economy
"বিএনপি নেতা সালাহ উদ্দিন আহমদকে নেগ্রিমস হাসপাতাল থেকে গতকাল মঙ্গলবার থানাহাজতে নিয়েছে শিলং পুলিশ। ১১ মে বিএনপির এই যুগ্ম মহাসচিবকে অনুপ্রবেশের দায়ে আটকের পর প্রথমবারের মতো পুলিশি হেফাজতে নেওয়া হলো। এর আগে পুলিশি পাহারায় তিনি শিলংয়ের মানসিক হাসপাতাল, সিভিল হাসপাতাল ও নেগ্রিমসে চিকিৎসাধীন ছিলেন।গতকাল মঙ্গলবার বিকেলে শিলং থেকে নেগ্রিমসের (নর্থ ইস্টার্ন ইন্দিরা গান্ধী রিজিওনাল ইনস্টিটিউট অব মেডিকেল সায়েন্স) পরিচালক এ জে এহেনগার ফোনে প্রথম আলোকে এ তথ্য জানান।জানতে চাইলে সালাহ উদ্দিনের স্ত্রী হাসিনা আহমদ প্রথম আলোকে জানান, তাঁর স্বামীকে পুলিশ সদর থানায় নিয়ে গেছে। আজ বুধবার আদালতে নেওয়া হতে পারে।পুলিশ সুপারের কার্যালয় সূত্রে জানা গেছে, আজ বুধবার সালাহ উদ্দিন আহমদকে নিম্ন আদালতে হাজির করে রিমান্ডের আবেদন করা হবে।বিনা পাসপোর্টে ভারতে অনুপ্রবেশের অভিযোগে শিলংয়ের পুলিশ সালাহ উদ্দিনের বিরুদ্ধে ‘ফরেনার্স অ্যাক্ট-৪৬ ’-এ মামলা করেছে। এর আগে ১১ মে শিলংয়ের গলফ-লিংক এলাকার লোকজন তাঁকে সেখানে দেখে পুলিশকে খবর দেয়। পুলিশ গিয়ে তাঁকে আটক করে পাস্তুর পুলিশ ফাঁড়িতে নিয়ে যায়। পরে তাঁকে প্রাথমিক স্বাস্থ্য পরীক্ষার জন্য নেওয়া হয় সেখানকার সিভিল হাসপাতালে। এরপর শিলং সদর পুলিশ থানা থেকে নেওয়া হয় মানসিক হাসপাতাল মিমহানসে। একদিন পর মিমহানস থেকে আবার তাঁকে পাঠানো হয় সিভিল হাসপাতালে। এরপর ২০ মে সিভিল হাসপাতাল থেকে সালাহ উদ্দিনকে স্থানান্তরিত করা হয় নেগ্রিমসে।",state
